Comments,Score,Difficulty,Attendance,Would Take Again
"To anyone reading this questioning whether they should take Stat 435 with Stefan - do it. It will be the best decision of your undergrad. Easily my favourite professor Ive had, clear lectures, group work that is applicable to real life statistics, etc. Take home midterm, open book final. Do your work, pay attention, easy 80+. TAKE THIS CLASS.",5.0,2.0, Not Mandatory, Yes
"instructions are unclear, too many workloads. He made us hand in a report every week which require a lot of investigaions and time. However, his instructions are unclear, usually dun know what to do.",1.5,4.0, Mandatory,
"Good prof. A bit mundane but its a stat course so kinda of expected. Midterms are hard but the final made up for it. He cares about his students even though he doesn't show it. The course material looks boring but once you study it bit further, you'll enjoy the material.",4.0,3.0,,
"Great notes, lots of examples. Fair tests and final. A nice guy",5.0,1.0,,
"His notes are very helpful and organized. He is really good at explaining and teaching. Very approachable too. He would provide past tests and assignments for references. He also reviews tests. Also, in the beginning of each class, he would do a quick review to help students to keep on track of the materials.",5.0,3.0,,
Really knowledgeable. Very helpful to students in and out of class. Really nice and a pleasure to have as a prof!,4.5,2.0,,
"The worse prof I ever had. He did not care one bit, taught from slides that made no sense and couldn't even solve the proofs himself. Avoid at all costs!",1.0,5.0,,
Dry but effective.  Friendly and approachable demeanor.,4.0,3.0,,
A very very annoying course. But he did his level best to make it interesting. Enthusiastic about the topic and gives good notes. If you have to take the course (and it's mandatory) take it with him.,5.0,2.0,,
soso..but his note is really good!! but no more examples about cars plz!!!,3.0,3.0,,
"Pretty good. Could be more energetic/funny but comparing to most, a very good prof",4.0,2.0,,
Pretty good explanations especially considering the course materials.  Excellent notes!,4.5,2.0,,
"honestly, a very good prof, given the horrible course he has to teach...",5.0,2.0,,
"Very clear, organized notes.  Good visual presenter.  Some overhead comics wer",4.5,2.0,,
"very patient, ignores snoozes with great tolerance. just the course is hellish",5.0,2.0,,
Pretty good oral presentation and good explanations for questions,4.0,3.0, Mandatory,
good course notes,4.0,4.0,,
"His lectures are fun to attend to since its as if he's story telling. His tests are essay writing but he will tell you about whats going to be on it as early as week #2. The key points to passing his class is to sit around the front row, take notes during his lecture and make sure they're neat AND most importantly, don't miss any lectures or labs!",4.0,4.0,,
One of the hardest markers I have even seen in my life.,3.0,5.0,,
"I love this guy! He's just plain magic!! He is a good teacher. His lectures are really good. The way he teaches about the various protocols is interesting and easy to remember. Ian is a great teacher, he really knows his stuff. If you walk into his class ready to learn and write a lot, you'll do really well.  Ian Allison is an great teacher.",4.5,1.0,,
